L’approccio empirico per la comprensione del comportamento umano enfatizza; l'osservazione diretta e la
sperimentazione
Riordina le fasi che compongono il processo di ricerca; Riordina
2;Sviluppare un quesito di ricerca
2;Generare un'ipotesi di ricerca
2;Formare delle definizioni operative
2;Scegliere un disegno di ricerca
2;Valutare l'etica della ricerca
2;Raccogliere e analizzare i dati e formulare delle conclusioni
2;Riferire sui dati
Quando si conduce una ricerca, è importante per gli psicologi isolare ed evidenziare l’unicità del loro studio eevitare collegamenti con ricerche precedenti;Falso
Una componente importante di ogni ricerca che usa l’inganno è la procedura del debriefing; Vero
Lo scetticismo scientifico si riferisce all’idea che; le affermazioni sui fenomeni dovrebbero essere verificate e le affermazioni non verificabili dovrebbero essere respinte;
L’etnocentrismo si verifica quando; i ricercatori cercano di comprendere una cultura diversa attraverso la struttura e la prospettiva della propria cultura
Se una ricerca scientifica viene pubblicata su una rivista è sicuramente valida; False
Una domanda di ricerca può essere considerata rilevante quando; i risultati ottenuti probabilmente faranno progredire la scienza psicologica
Gli psicologi comprendono ed individuano le strategie da utilizzare per migliorare la vita delle persone attraverso; Lo sviluppo di teorie e la conduzione di attività di ricerca
L’evidenza scientifica più solida per un’affermazione su un certo comportamento; si basa sulla convergenza delle prove che provengono da studi diversi che esaminano lo stesso quesito di ricerca
La formulazione di un’ipotesi di ricerca include; una forma di previsione di alcuni esiti con la spiegazione dei risultati attesi
Quando un ricercatore inizia ad occuparsi di una ricerca deve decidere se il suo quesito sia un buon quesito, domandandosi perché qualcuno potrebbe essere interessato ai risultati ottenuti dal porsi tale interrogativo; Vero
Un aspetto del contesto sociale e culturale nel quale lavorano i ricercatori è che; l’accettazione da parte della società dei risultati della ricerca può influenzare come i risultati stessi siano messi in pratica
Gli psicologi aumentano la comprensione e la conoscenza sulla vita delle persone attraverso l'attività di ricerca; Vero
Alcuni psicologi hanno sostenuto che la pratica della psicologia clinica si basa troppo sulle esperienze personali piuttosto che su trattamenti supportati empiricamente; Vero
Spesso i resoconti delle ricerche psicologiche proposti dai media mancano di importanti dettagli che faciliterebbero alle persone la comprensione dei risultati; Vero
Un ricercatore alla fine della sua ricerca deve interrogarsi sulle implicazioni etiche di ciò che ha fatto; Falso
In un esperimento, si vuole valutare se l’esplicitazione di una norma influenzi il comportamento. A un gruppo di studenti di una scuola superiore, a cui non viene detto di essere i partecipanti a una ricerca, viene chiesto di non consumare i cibi del buffet al termine di una conferenza a cui hanno assistito, a un secondo gruppo di studenti non viene data alcuna indicazione. Si osserva il comportamento degli studenti. Da un punto di vista etico, il ricercatore dovrebbe prestare attenzione a; Informare gli studenti degli scopi della ricerca
Quali delle seguenti affermazioni sul contesto storico della psicologia, è vera? Dall’indagine di una vasta gamma di argomenti, nel corso del tempo, gli psicologi hanno dimostrato la complessità del comportamento umano
All'inizio di un progetto di ricerca, un primo importante step è la conduzione di una revisione della letteratura psicologica presente nelle riviste scientifiche e nei testi; Vero
I valori sociali e culturali influenzano gli psicologi nella scelta delle domande di ricerca; Vero
Poiché la maggior parte delle ricerche psicologiche presenti nelle riviste di psicologia si basa su campioni che coinvolgono gli americani e sono state condotte da ricercatori americani, potrebbe essere presente il bias etnocentrico nella scienza psicologica; Vero
La maggior parte dei report di ricerca che sono presentati dai media (per esempio in TV, nelle riviste o nei giornali) rappresentano una buona ricerca e di qualità; Falso
Due delle principali caratteristiche del metodo scientifico sono l'approccio empirico e l'atteggiamento di accettazione; Falso
Un approccio multimetodo alla scienza psicologica significa che; Ad ogni singola domanda di ricerca è meglio rispondere utilizzando metodi diversi
La scienza è; Un’impresa cumulativa
Prima di iniziare un progetto di ricerca, i ricercatori dovrebbero esplorare la letteratura psicologica sul tema che intendono affrontare; al fine di sviluppare ipotesi di ricerca
Un'ipotesi di ricerca è un tentativo di spiegare un fenomeno ed è spesso espressa nella forma di predizione di alcuni esiti insieme alla spiegazione della predizione; Vero
In una recente critica alla pratica degli psicologi clinici, sono state fatte tutte le seguenti proposte, tranne: fare alcuni programmi di training clinici non scientifici per mantenere equilibrata la psicologia
Un approccio multimetodo alla ricerca sui fenomeni psicologici suppone che un particolare metodo o strumento di misura del comportamento siano incompleti; Falso
I motivi per cui i ricercatori in psicologia usano differenti metodi per rispondere a una domanda di ricerca includono ognuna delle seguenti risposte, tranne; è più parsimonioso utilizzare metodi diversi
I principi etici per la ricerca sviluppati dall’Associazione Italiana di Psicologia (AIP) guidano il ricercatore a; districarsi tra i dilemmi etici quando conduce una ricerca con soggetti umani e animali;
Il contesto sociale e culturale della ricerca psicologica influisce su ciascuna delle seguenti affermazioni, tranne; l’integrità etica dei ricercatori
I primi psicologi si rivolsero all’empirismo per separare la scienza psicologica emergente dall’interesse della società per lo spiritualismo; Vero
Nell’ambito della psicologia come scienza, gli psicologi hanno studiato i fenomeni come, ad esempio, la telepatia e la chiaroveggenza, perché queste esperienze possono essere osservate direttamente; Falso
“Quali sono le cause del consumo di droga?” Questa domanda di ricerca può essere alla base di una ricerca scientifica; No, ma può essere alla base di un filone di ricerca, al cui interno andranno definite delle domande più specifiche.
Un aspetto etico dell’attività scientifica riguarda il fatto che; ognuna delle risposte precedenti
Immaginare come ci comporteremmo davanti a un compito o di fronte a uno specifico problema non costituisce una regola per generare un’ipotesi da verificare scientificamente; Falso
Due caratteristiche importanti del metodo scientifico sono; L’approccio empirico e l’atteggiamento scettico dei ricercatori
Per un certo numero di motivi, gli psicologi hanno abbandonato Internet come un strumento per condurre la ricerca psicologica; Falso
L'etnocentrismo può verificarsi perché la scienza psicologica ha luogo in un contesto socioculturale; Vero
La ricerca di base, più di quella applicata, cerca di verificare le teorie del comportamento e dei processi mentali; Vero
La variabile interveniente serve a; spiegare le connessioni fra variabili
Una correlazione esiste quando; due misure della stessa popolazione, o degli stessi eventi, o delle stesse cose variano insieme
La ricerca qualitativa si basa sull’analisi statistica del comportamento osservato; Falso
Un ricercatore valuta se gli studenti imparano meglio con un metodo di insegnamento basato sull’apprendimento attivo o con un metodo di insegnamento tradizionale. In questo esempio, il metodo di insegnamento è; variabile indipendente
Quale finalità della ricerca raggiungono gli psicologi quando conducono degli esperimenti; Spiegazione
Per stabilire l’accuratezza di uno strumento di misurazione è necessario; Calibrarlo
Quale delle seguenti affermazioni descrive meglio il rapporto tra correlazione e causazione?; La correlazione non implica la causalità
I ricercatori possono sempre trarre inferenze causali quando tra due variabili si osserva una correlazione.; Falso
Gli psicologi utilizzano _______________________ per studiare in profondità un fenomeno.;  La ricerca qualitativa
Esiste una sola operazionalizzazione possibile per ogni costrutto psicologico; Falso
La variabile dipendente è manipolata la variabile indipendente è osservata; Falso
La ricerca che ha come scopo quello di aumentare le conoscenze teoriche su un argomento si chiama?; Di base
Il metodo scientifico, come approccio alla conoscenza, si basa su; procedure empiriche
Abbina ciascuna delle quattro finalità del metodo scientifico alla definizione corretta\n1. Descrizione \n2. Applicazione \n3. Predizione \n4. Spiegazione e comprensione;\n1:I ricercatori definiscono, classificano, catalogano o categorizzano eventi e relazioni per descrivere processi mentali e comportamenti.\n2:Gli psicologi applicano le loro conoscenze e metodi di ricerca per migliorare la vita delle persone.\n3:Quando i ricercatori identificano le correlazioni tra variabili, sono in grado di predire i processi mentali e comportamenti.\n4: I ricercatori comprendono un fenomeno quando riescono a identificarne la causa (le cause).
Un’ipotesi, per essere verificabile, deve essere circolare nel suo ragionamento.; Falso
______ è un’affermazione circa la causa di un evento o di un comportamento.; Un’inferenza causale
Gli psicologi utilizzano ____ per individuare le associazioni tra variabili.; La ricerca correlazionale
Quale finalità della ricerca raggiungono gli psicologi quando definiscono, classificano, catalogano o categorizzano gli eventi?; Descrizione
La precisione della predizione nella messa alla prova di una teoria si riferisce all’idea che la spiegazione più semplice tra le alternative è accettabile.; Falso
I ricercatori conducono un esperimento quando cercano di trarre inferenze causali.; Vero
L’attendibilità della misurazione si riferisce alla coerenza, la validità della misurazione si riferisce alla veridicità.; Falso
Nella scienza l’ingrediente essenziale è; Il controllo
La definizione operativa è utilizzata dagli scienziati per attribuire un significato specifico al costrutto.; Vero


pagina 5 di 37
